,steel kadayi,cooker,Mini Springform Cake Tin,Prestige Dinnerset,Nolta Dinnerset,plate,Solimo 3-Piece Aluminium Non-Stick Cookware Set,Nirlon Premium Non Stick Aluminium Kitchen Ware 4,Nonstick Frying Pan,Cello Non-Stick 12 Cavity Grill Appam Patra,cello dinnerset,Steel Dinnerset,Bake Plate
steel kadayi,0.0,0.9595375722543351,1.0,0.8435911914172783,0.571625344352617,0.8281596452328159,0.5537948290241869,0.4527272727272727,0.7089688834655278,0.7089688834655278,0.8102501525320317,0.49076127124907615,0.571625344352617
cooker,1.0,0.0,1.0,0.9361471861471862,0.6788750817527797,0.9197235513024987,0.542319749216301,0.4409515717926933,0.8065268065268065,0.8065268065268065,0.8065268065268065,0.604895104895105,0.6788750817527797
Mini Springform Cake Tin,1.0,0.9595375722543351,0.0,0.8435911914172783,0.571625344352617,0.8281596452328159,0.5537948290241869,0.4527272727272727,0.7089688834655278,0.7089688834655278,0.8102501525320317,0.49076127124907615,0.571625344352617
Prestige Dinnerset,0.9391304347826088,1.0,0.9391304347826088,0.0,0.7937007874015748,0.9509433962264152,0.3230769230769231,0.3536842105263158,0.8166666666666668,0.8166666666666668,0.9333333333333333,0.5694915254237288,0.6614173228346457
Nolta Dinnerset,0.7260101010101011,0.827338129496403,0.7260101010101011,0.9055118110236221,0.0,0.8846153846153847,0.0,0.0,1.0,1.0,0.8333333333333334,0.4307116104868914,0.391156462585034
plate,0.9384146341463415,1.0,0.9384146341463415,0.9679245283018869,0.7892307692307693,0.0,0.31962616822429907,0.17448979591836733,0.9306122448979592,0.9306122448979592,0.9306122448979592,0.706611570247934,0.7892307692307693
Solimo 3-Piece Aluminium Non-Stick Cookware Set,0.7889908256880734,0.7413793103448276,0.7889908256880734,0.4134615384615385,0.0,0.40186915887850466,0.0,1.0,0.46739130434782605,0.46739130434782605,0.23369565217391303,0.32575757575757575,0.5733333333333334
Nirlon Premium Non Stick Aluminium Kitchen Ware 4,0.645,0.602803738317757,0.645,0.45263157894736844,0.0,0.2193877551020408,1.0,0.0,0.0,0.0,0.25903614457831325,0.37719298245614036,0.32575757575757575
Nonstick Frying Pan,0.7751677852348994,0.8461538461538461,0.7751677852348994,0.8020833333333334,0.8608695652173912,0.8979591836734693,0.358695652173913,0.0,0.0,1.0,0.75,0.4669811320754717,0.5739130434782609
Cello Non-Stick 12 Cavity Grill Appam Patra,0.7751677852348994,0.8461538461538461,0.7751677852348994,0.8020833333333334,0.8608695652173912,0.8979591836734693,0.358695652173913,0.0,1.0,0.0,0.75,0.4669811320754717,0.5739130434782609
cello dinnerset,0.9664429530201343,0.9230769230769231,0.9664429530201343,1.0,0.782608695652174,0.9795918367346939,0.1956521739130435,0.2168674698795181,0.8181818181818182,0.8181818181818182,0.0,0.5094339622641509,0.6260869565217392
Steel Dinnerset,0.5788617886178863,0.6846153846153846,0.5788617886178863,0.6033898305084746,0.4,0.7355371900826446,0.2696969696969697,0.31228070175438594,0.5037735849056604,0.5037735849056604,0.5037735849056604,0.0,1.0
Bake Plate,0.6742424242424243,0.7683453237410073,0.6742424242424243,0.7007874015748031,0.36326530612244895,0.8215384615384617,0.47466666666666674,0.2696969696969697,0.6191304347826088,0.6191304347826088,0.6191304347826088,1.0,0.0
